# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12980
#@/user_id	lab_macos
a 	吖	c=1 d=1.22815e-06 t=12980
li you 	理由	c=1 d=6.06737e-05 t=12980
li zhi 	離職	c=1 d=6.01109e-13 t=12980
li zhi le 	離職了	c=1 d=3.75439e-05 t=12980
li zi 	例子	c=1 d=9.61117e-05 t=12980
lia ren 	倆人	c=2 d=2.1232e-05 t=12980
lian 	連	c=1 d=0.000162866 t=12980
lian jie 	連接	c=8 d=0.631479 t=12980
lian jie 	鏈接	c=2 d=0.00346515 t=12980
lian jie bu shang 	連接不上	c=1 d=0.105928 t=12980
lian mai 	連麥	c=1 d=0.000139144 t=12980
lian shang 	臉上	c=1 d=0.690734 t=12980
lian shang le me 	連上了麼	c=1 d=0.00163682 t=12980
lian shou 	聯手	c=1 d=1.8325e-08 t=12980
lian tong 	聯通	c=1 d=0.0216013 t=12980
lian tong xing 	连通性	c=1 d=0.00140882 t=12980
lian xi 	練習	c=2 d=0.360595 t=12980
lian xi 	聯繫	c=15 d=0.0631152 t=12980
lian xi dian hua 	聯繫電話	c=1 d=8.76872e-14 t=12980
lian xi fang shi 	聯繫方式	c=2 d=0.756294 t=12980
lian xiang 	聯想	c=1 d=3.94822e-09 t=12980
liang 	亮	c=16 d=0.00282201 t=12980
liang 	量	c=2 d=0.00362464 t=12980
liang ge 	兩個	c=9 d=0.600026 t=12980
liang le 	涼了	c=1 d=0.0413782 t=12980
liang mian 	兩面	c=1 d=5.6028e-09 t=12980
liang ming 	兩名	c=1 d=1.84168e-08 t=12980
liang pian 	兩篇	c=1 d=0.0327124 t=12980
liang tai 	兩臺	c=3 d=0.70822 t=12980
liang tian 	兩天	c=1 d=4.10935e-09 t=12980
liang xia 	兩下	c=0 d=3.5651e-15 t=12980
liang zhang tu 	兩張圖	c=1 d=6.74024e-07 t=12980
liang zhe 	兩者	c=1 d=2.05548e-06 t=12980
liang zhong 	兩種	c=1 d=6.00905e-09 t=12980
liao 	了	c=1 d=0.00687406 t=12980
liao jie yi xia 	瞭解一下	c=1 d=0.191092 t=12980
lie 	列	c=1 d=0.037068 t=12980
lie biao 	列表	c=1 d=1.07065e-09 t=12980
lie chu 	列出	c=1 d=1.09473e-06 t=12980
lin da 	林大	c=2 d=0.402524 t=12980
lin shi 	臨時	c=3 d=0.0331604 t=12980
ling dao 	領導	c=4 d=0.71896 t=12980
ling dao zhe 	領導者	c=1 d=0.00449405 t=12980
ling dian ji 	零点几	c=1 d=0.0871609 t=12980
ling ge 	零個	c=1 d=3.68067e-07 t=12980
ling huo 	靈活	c=2 d=1.98e-07 t=12980
ling wai 	另外	c=4 d=1.17891e-05 t=12980
ling yi ge 	另一個	c=1 d=2.78179e-07 t=12980
linux 	Linux	c=1 d=5.84555e-08 t=12980
liu 	劉	c=2 d=4.44762e-12 t=12980
liu 	流	c=1 d=0.00873865 t=12980
liu chao 	刘超	c=1 d=5.71501e-07 t=12980
liu cheng 	流程	c=2 d=0.343015 t=12980
liu dian 	六點	c=1 d=0.0856415 t=12980
liu dian qu 	六點去	c=1 d=0.860708 t=12980
liu ge 	六個	c=1 d=1.18631e-10 t=12980
liu lan qi 	瀏覽器	c=3 d=0.00057231 t=12980
liu lao shi 	劉老師	c=1 d=6.96586e-12 t=12980
liu liang 	流量	c=4 d=0.638203 t=12980
liu qi shi 	六七十	c=1 d=0.0808629 t=12980
liu shui xian 	流水線	c=1 d=0.00427488 t=12980
liu zhe 	留着	c=1 d=2.92591e-13 t=12980
lo 	咯	c=0 d=2.52487e-15 t=12980
lou 	摟	c=1 d=2.88834e-08 t=12980
lou 	樓	c=2 d=1.18019 t=12980
lou dong 	漏洞	c=1 d=5.26558e-14 t=12980
lou shang 	樓上	c=1 d=0.0352602 t=12980
lou xia 	樓下	c=1 d=7.66007e-12 t=12980
lu 	盧	c=2 d=0.240508 t=12980
lu 	路	c=1 d=0.0116786 t=12980
lu inboard ji nian guan 	盧Inboard紀念館	c=1 d=5.42225e-06 t=12980
lu jing 	路徑	c=7 d=4.84896e-05 t=12980
lu ru 	錄入	c=1 d=1.46657e-05 t=12980
lu you 	路由	c=4 d=0.645462 t=12980
luan ma 	亂碼	c=4 d=1.47875e-13 t=12980
luan tao 	亂套	c=1 d=0.364219 t=12980
lun 	輪	c=1 d=0.217621 t=12980
lun chuan 	輪船	c=1 d=3.70807e-06 t=12980
luo 	裸	c=1 d=0.0277367 t=12980
luo dao 	落到	c=2 d=0.0586422 t=12980
luo ji 	邏輯	c=1 d=7.28276e-06 t=12980
luo si 	螺絲	c=1 d=0.0343896 t=12980
ma 	嗎	c=16 d=0.789398 t=12980
ma 	嘛	c=3 d=0.000483248 t=12980
ma 	馬	c=1 d=0.000863083 t=12980
ma fan 	麻煩	c=12 d=1.2004 t=12980
ma fan si wo le 	麻煩死我了	c=1 d=0.744532 t=12980
ma ke 	馬克	c=1 d=2.79042e-14 t=12980
ma la tang 	麻辣燙	c=2 d=0.00212284 t=12980
ma lao shi 	馬老師	c=2 d=0.0793132 t=12980
ma shang 	馬上	c=3 d=0.335794 t=12980
mai 	買	c=12 d=0.490004 t=12980
mai 	賣	c=1 d=0.0290133 t=12980
mai dian 	賣點	c=1 d=3.94688e-05 t=12980
mai ji tai 	買幾臺	c=1 d=1.54628e-10 t=12980
mai le 	買了	c=2 d=0.154899 t=12980
mai tai 	埋汰	c=2 d=0.0127232 t=12980
mai yi tao 	買一套	c=1 d=0.00382958 t=12980
mai zhang 	買張	c=1 d=0.00217658 t=12980
man 	滿	c=2 d=0.00778933 t=12980
man a 	慢啊	c=1 d=2.75505e-11 t=12980
man le 	滿了	c=2 d=0.393864 t=12980
man zai 	滿載	c=1 d=3.43242e-09 t=12980
man zu 	滿足	c=2 d=0.508527 t=12980
mang 	忙	c=1 d=0.0132999 t=12980
mang liu zi 	盲流子	c=2 d=0.546074 t=12980
mao 	貓	c=3 d=0.506617 t=12980
me 	麼	c=69 d=3.11715 t=12980
mei 	沒	c=36 d=1.11401 t=12980
mei bi yao 	沒必要	c=1 d=0.000880518 t=12980
mei bie ren 	沒別人	c=2 d=0.0858632 t=12980
mei cha dao 	沒查到	c=1 d=0.0142642 t=12980
mei chu lai 	沒出來	c=1 d=4.18226e-10 t=12980
mei ci 	每次	c=3 d=2.32919e-06 t=12980
mei dao 	沒到	c=1 d=2.5371e-12 t=12980
mei de 	沒得	c=0 d=8.09455e-15 t=12980
mei de chi 	沒得吃	c=1 d=1.39168e-06 t=12980
mei de gai 	沒得改	c=1 d=8.13513e-14 t=12980
mei fa 	沒法	c=6 d=0.382893 t=12980
mei fa xian 	没发现	c=1 d=8.48471e-09 t=12980
mei gai guo 	沒改過	c=1 d=1.51907e-07 t=12980
mei gan 	沒幹	c=1 d=0.00386807 t=12980
mei ge 	每個	c=12 d=0.0658748 t=12980
mei gei wo 	沒給我	c=1 d=0.0685632 t=12980
mei gong fu 	沒工夫	c=1 d=0.13068 t=12980
mei guan xi 	沒關係	c=2 d=0.00524752 t=12980
mei he 	美河	c=1 d=0.0678809 t=12980
mei hu dong 	沒互動	c=2 d=0.113043 t=12980
mei huai 	沒壞	c=1 d=6.77749e-13 t=12980
mei huo 	沒活	c=1 d=1.8325e-08 t=12980
mei jie xi 	沒解析	c=1 d=4.06847e-09 t=12980
mei kan 	沒看	c=2 d=0.103046 t=12980
mei kan dao 	沒看到	c=1 d=0.537944 t=12980
mei kan ming bai 	沒看明白	c=1 d=0.00582847 t=12980
mei kong 	沒空	c=2 d=0.00477195 t=12980
mei le 	沒了	c=2 d=0.0516851 t=12980
mei mai guo 	沒買過	c=1 d=0.00136719 t=12980
mei ming bai 	没明白	c=2 d=0.170333 t=12980
mei ne 	没呢	c=1 d=3.77321e-05 t=12980
mei pei zhi 	沒配置	c=4 d=0.109154 t=12980
mei pi 	美屁	c=0 d=0.0351692 t=12980
mei qu 	沒去	c=1 d=3.32984e-05 t=12980
mei ren 	沒人	c=4 d=0.790571 t=12980
mei ren ting 	沒任聽	c=1 d=1.84582e-05 t=12980
mei ren yong 	沒人用	c=1 d=4.49711e-11 t=12980
mei ren zhao wo 	沒人找我	c=1 d=2.60044e-08 t=12980
mei sha 	沒啥	c=23 d=1.57987 t=12980
mei sha shi 	沒啥事	c=1 d=0.19398 t=12980
mei shi 	沒事	c=4 d=0.456644 t=12980
mei shi 	美食	c=1 d=3.86873e-05 t=12980
mei shuo 	沒說	c=2 d=0.228779 t=12980
mei tian 	每天	c=2 d=0.960789 t=12980
mei ting 	沒聽	c=0 d=0.00731678 t=12980
mei ting zhao 	沒聽找	c=1 d=0.0735345 t=12980
mei tuan 	美团	c=4 d=0.209452 t=12980
mei wen ti 	沒問題	c=7 d=0.189225 t=12980
mei xia 	沒下	c=1 d=0.00096344 t=12980
mei xian zhi 	沒限制	c=1 d=0.0072265 t=12980
mei xiang 	每項	c=2 d=0.0695755 t=12980
mei xie 	沒寫	c=2 d=0.000409735 t=12980
mei ya suo 	沒壓縮	c=1 d=0.474734 t=12980
mei yong guo 	沒用過	c=2 d=7.02397e-11 t=12980
mei yong le 	沒用了	c=1 d=0.000808767 t=12980
mei you 	沒有	c=35 d=1.93816 t=12980
mei zheng guo 	沒整過	c=1 d=0.0753961 t=12980
mei zhong 	每種	c=1 d=0.00499159 t=12980
mei zhong duan 	沒中斷	c=1 d=6.39605e-08 t=12980
mei zhuang guo zhe ge 	沒裝過這個	c=1 d=9.4713e-09 t=12980
mei zuo 	沒做	c=1 d=0.00680566 t=12980
men 	們	c=3 d=0.00656651 t=12980
men 	門	c=2 d=1.97032 t=12980
men hu 	門戶	c=5 d=0.0678952 t=12980
men jin 	門禁	c=1 d=0.000141606 t=12980
men kan 	門檻	c=1 d=0.0561348 t=12980
meng 	懵	c=1 d=0.00404611 t=12980
meng 	猛	c=3 d=1.50065 t=12980
meng bu meng 	猛不猛	c=1 d=7.79199e-07 t=12980
mi ma 	密碼	c=50 d=1.82045 t=12980
mi mi 	咪咪	c=1 d=0.000125903 t=12980
mian bao 	麪包	c=5 d=1.13477 t=12980
mian fei 	免費	c=1 d=2.68703e-11 t=12980
mian xiang 	面向	c=1 d=0.00244185 t=12980
miao shu 	描述	c=7 d=0.00169923 t=12980
mie you 	蔑有	c=1 d=0.0141931 t=12980
min jian 	民間	c=1 d=0.0432828 t=12980
ming 	名	c=1 d=0.000817058 t=12980
ming bai 	明白	c=1 d=0.143568 t=12980
ming chao 	明朝	c=1 d=0.0557964 t=12980
ming cheng 	名稱	c=17 d=0.0904996 t=12980
ming hou tian 	明後天	c=1 d=0.000116223 t=12980
ming ling 	命令	c=8 d=0.300156 t=12980
ming ling hang 	命令行	c=1 d=5.1578e-06 t=12980
ming ming 	命名	c=1 d=1.69132e-06 t=12980
ming ming bai bai 	明明白白	c=1 d=0.208045 t=12980
ming que 	明確	c=2 d=8.8583e-08 t=12980
ming tian 	明天	c=32 d=4.24572 t=12980
ming xuan 	銘瑄	c=6 d=0.00940792 t=12980
ming yue pin yin 	朙月拼音	c=1 d=0.594521 t=12980
mo gu 	蘑菇	c=0 d=3.30524e-07 t=12980
mo kuai 	模塊	c=20 d=0.000257792 t=12980
mo kuai ke neng 	模塊可能	c=1 d=2.37049e-07 t=12980
mo ran 	漠然	c=2 d=1.03797 t=12980
mo ren 	默認	c=4 d=0.0997588 t=12980
mo shi 	模式	c=1 d=8.29241e-05 t=12980
mo ya 	磨牙	c=1 d=2.78274e-11 t=12980
mou 	某	c=0 d=0.00948935 t=12980
mou cheng xu 	某程序	c=1 d=0.0953692 t=12980
mou ge 	某個	c=2 d=0.292602 t=12980
mou tai 	某台	c=1 d=4.41797e-08 t=12980
mou zhong 	某種	c=3 d=2.552e-05 t=12980
mu ban 	模板	c=5 d=0.666399 t=12980
mu biao 	目標	c=5 d=0.0669265 t=12980
mu di 	目的	c=1 d=1.77375e-07 t=12980
mu di di zhi 	目的地址	c=2 d=0.00600598 t=12980
mu lu 	目錄	c=10 d=0.656727 t=12980
na 	拿	c=2 d=0.0769192 t=12980
na 	納	c=1 d=9.03577e-14 t=12980
na 	那	c=31 d=2.2511 t=12980
na bian 	那邊	c=10 d=0.600496 t=12980
na bu 	那不	c=3 d=0.583174 t=12980
na bu dou shi 	那不都是	c=1 d=0.00170362 t=12980
na bu hui 	那不會	c=1 d=0.00105946 t=12980
na bu neng 	那不能	c=1 d=1.1396e-08 t=12980
na bu shi 	那不是	c=5 d=0.0314302 t=12980
na bu xing 	那不行	c=1 d=0.0731678 t=12980
na de 	哪的	c=1 d=2.5175e-09 t=12980
na diao 	拿掉	c=1 d=6.19416e-13 t=12980
na duan 	那端	c=1 d=3.52782e-08 t=12980
na dui 	那對	c=3 d=0.145889 t=12980
na dui le 	那對了	c=1 d=0.00012465 t=12980
na ge 	哪個	c=13 d=2.92128 t=12980
na ge 	那個	c=26 d=1.02812 t=12980
na ji ge 	那幾個	c=1 d=0.0015648 t=12980
na jiu 	那就	c=4 d=0.172907 t=12980
na jiu shi 	那就是	c=2 d=0.0124629 t=12980
na ke neng 	哪可能	c=1 d=0.29671 t=12980
na le 	拿了	c=1 d=8.07091e-09 t=12980
na li 	哪裏	c=2 d=0.0911727 t=12980
na me 	那麼	c=0 d=3.71893e-12 t=12980
na me duo 	那麼多	c=1 d=2.67363e-11 t=12980
na ne 	哪呢	c=1 d=9.90387e-05 t=12980
na ni 	哪尼	c=2 d=0.172045 t=12980
na ni 	那你	c=3 d=0.332183 t=12980
na sha 	拿啥	c=1 d=0.0102037 t=12980
na shi 	那是	c=2 d=0.0162354 t=12980
na tai 	哪臺	c=3 d=2.23269e-11 t=12980
na tai 	那臺	c=2 d=0.640824 t=12980
na tian 	哪天	c=5 d=0.683861 t=12980
na tian 	那天	c=1 d=0.108067 t=12980
na wo 	拿握	c=1 d=0.279431 t=12980
na wo 	那我	c=11 d=1.2323 t=12980
na xiang 	哪像	c=1 d=0.131994 t=12980
na xie 	哪些	c=7 d=0.043006 t=12980
na yang 	那樣	c=4 d=0.0175975 t=12980
na yi 	那一	c=0 d=7.77055e-05 t=12980
na yi si 	那意思	c=0 d=0.00569831 t=12980
na you sha 	那有啥	c=1 d=0.00115345 t=12980
na you xi 	那遊戲	c=1 d=0.45612 t=12980
na zhen 	哪阵	c=1 d=6.52859e-14 t=12980
na zhong 	哪種	c=5 d=0.774947 t=12980
nan 	難	c=5 d=0.838895 t=12980
nan du 	難度	c=1 d=0.763379 t=12980
nan gao 	難搞	c=2 d=0.0135686 t=12980
nao er ta 	淖尔塔	c=0 d=7.7518e-06 t=12980
nao er ta song ta ta 	淖尔塔松塌塌	c=1 d=7.79066e-05 t=12980
nao ke 	腦殼	c=1 d=0.00100276 t=12980
ne 	呢	c=37 d=1.44099 t=12980
ne ge 	呢個	c=0 d=1.82398e-13 t=12980
nei 	內	c=3 d=0.181856 t=12980
nei bu 	內部	c=5 d=0.014701 t=12980
nei cai neng 	內才能	c=1 d=3.41472e-07 t=12980
nei ceng 	內層	c=1 d=0.0769192 t=12980
nei cun 	內存	c=7 d=1.00167 t=12980
nei he 	內核	c=7 d=0.0418597 t=12980
nei he bu pi pei 	內核不匹配	c=1 d=0.0198411 t=12980
nei rong 	內容	c=2 d=0.882497 t=12980
nei wang 	內網	c=4 d=0.612857 t=12980
neng 	能	c=39 d=1.58479 t=12980
neng bu neng 	能不能	c=7 d=0.341774 t=12980
neng gai 	能改	c=1 d=0.324652 t=12980
neng li 	能力	c=1 d=0.0112206 t=12980
neng qu 	能去	c=1 d=5.17027e-05 t=12980
neng song 	能送	c=1 d=0.831104 t=12980
neng ting 	能聽	c=1 d=0.0706512 t=12980
neng yong 	能用	c=0 d=4.6325e-08 t=12980
ni 	你	c=152 d=8.6913 t=12980
ni 	尼	c=10 d=3.65686e-05 t=12980
ni bie xia shuo 	你別瞎說	c=1 d=0.00388746 t=12980
ni bu hao 	你不好	c=1 d=0.00433948 t=12980
ni bu liao jie qing kuang 	你不瞭解情況	c=1 d=0.20089 t=12980
ni bu shi 	你不是	c=1 d=1.11742e-12 t=12980
ni bu xin xie 	你不信邪	c=1 d=5.57675e-13 t=12980
ni chu lai 	你出来	c=1 d=0.000115643 t=12980
ni dong 	你懂	c=0 d=0.0782705 t=12980
ni dong ba 	你懂吧	c=1 d=0.786628 t=12980
ni fen xi fen xi 	你分析分析	c=1 d=0.0473589 t=12980
ni gao su 	你告訴	c=1 d=0.23457 t=12980
ni hai shi 	你還是	c=1 d=0.162026 t=12980
ni jia 	你家	c=1 d=0.0340475 t=12980
ni jian cha 	你檢查	c=1 d=0.282239 t=12980
ni jiu 	你就	c=5 d=0.941765 t=12980
ni jiu kuo 	你就擴	c=1 d=0.213312 t=12980
ni jiu shi 	你就是	c=1 d=1.30814e-13 t=12980
ni kan 	你看	c=0 d=0.0169483 t=12980
ni kan kan 	你看看	c=2 d=0.145876 t=12980
ni kan le ma 	你看了吗	c=1 d=2.05018e-05 t=12980
ni kan za ban 	你看咋辦	c=1 d=0.170333 t=12980
ni ke 	你可	c=1 d=0.198891 t=12980
ni ke yi 	你可以	c=1 d=0.0761538 t=12980
ni ma 	尼瑪	c=1 d=0.0295994 t=12980
ni ma shang 	你馬上	c=1 d=0.174645 t=12980
ni mai 	你買	c=1 d=0.000322309 t=12980
ni mei 	你沒	c=0 d=0.0114178 t=12980
ni mei wen jian jia 	你沒文件夾	c=1 d=0.11475 t=12980
ni mei yong guo 	你沒用過	c=1 d=0.130029 t=12980
ni mei you 	你没有	c=1 d=4.21482e-13 t=12980
ni men 	你們	c=7 d=0.218203 t=12980
ni na 	你那	c=1 d=0.323033 t=12980
ni neng 	你能	c=0 d=0.0211189 t=12980
ni neng kuo 	你能擴	c=1 d=0.212248 t=12980
ni sha 	泥沙	c=1 d=0.153355 t=12980
ni shi 	你是	c=4 d=0.0139938 t=12980
ni shuo 	你說	c=1 d=0.390628 t=12980
ni shuo zhe ge 	你說這個	c=1 d=0.923116 t=12980
ni sui bian 	你隨便	c=1 d=0.187308 t=12980
ni tai you 	你太有	c=1 d=6.98389e-13 t=12980
ni wu lu 	你無路	c=1 d=3.9096e-11 t=12980
ni xian mang ba 	你先忙吧	c=1 d=0.000422213 t=12980
ni xiang 	你想	c=1 d=0.000731802 t=12980
ni yao 	你要	c=4 d=0.494198 t=12980
ni yao mei chi fan 	你妖媚喫飯	c=1 d=0.000555857 t=12980
ni yao shi 	你鑰匙	c=2 d=0.612626 t=12980
ni yao shuo 	你要說	c=1 d=0.562705 t=12980
ni ye 	你也	c=0 d=1.28866e-14 t=12980
ni ye ting nan 	你也挺難	c=1 d=1.29512e-13 t=12980
ni yi 	你一	c=1 d=4.4279e-05 t=12980
ni yong de 	你用的	c=1 d=4.06916e-11 t=12980
ni you 	你有	c=0 d=6.31929e-14 t=12980
ni you bin 	你有斌	c=1 d=6.35096e-13 t=12980
ni zai zi xi 	你再仔細	c=1 d=0.0780817 t=12980
ni zen me 	你怎麼	c=2 d=0.474734 t=12980
ni zhe 	逆着	c=1 d=0.000287295 t=12980
ni zhe ge 	你這個	c=3 d=5.32838e-08 t=12980
ni zhi dao 	你知道	c=2 d=0.161247 t=12980
ni zhu yao shi 	你主要是	c=1 d=0.0107269 t=12980
ni zhua jin 	你抓緊	c=2 d=0.423162 t=12980
ni zi ji 	你自己	c=1 d=0.625002 t=12980
nian 	年	c=1 d=0.000428594 t=12980
nian hui 	年會	c=1 d=0.231078 t=12980
nian ji 	年紀	c=1 d=1.04404e-07 t=12980
nie 	聶	c=2 d=0.0102552 t=12980
nin 	您	c=17 d=1.41072 t=12980
nin hao 	您好	c=3 d=0.218712 t=12980
nin kan 	您看	c=1 d=0.0645703 t=12980
nin zhe bian 	您這邊	c=1 d=5.33045e-11 t=12980
niu bi 	牛逼	c=1 d=5.43721e-09 t=12980
nong 	弄	c=8 d=0.943315 t=12980
nong bu ming bai 	弄不明白	c=1 d=1.07047e-07 t=12980
nong cun 	農村	c=1 d=0.0221482 t=12980
nong xin 	農信	c=1 d=0.0327124 t=12980
o k 	OK	c=0 d=2.52487e-15 t=12980
o o o 	哦哦哦	c=1 d=0.00353515 t=12980
ou niao 	鷗鳥	c=0 d=8.69802e-08 t=12980
ou pian 	藕片	c=1 d=0.272532 t=12980
ou tu 	嘔吐	c=0 d=2.52487e-15 t=12980
ou tu lo o k 	嘔吐咯OK	c=1 d=2.53753e-14 t=12980
pa 	怕	c=5 d=0.0611149 t=12980
pa xia 	趴下	c=1 d=0.0173355 t=12980
pai cha 	排查	c=2 d=0.00495392 t=12980
pai gu 	排骨	c=1 d=0.271173 t=12980
pan 	盤	c=4 d=0.886046 t=12980
pao 	跑	c=4 d=0.67368 t=12980
pao lu 	跑路	c=0 d=2.78227e-10 t=12980
pao lu le 	跑路了	c=1 d=2.79621e-09 t=12980
pei 	配	c=10 d=0.694565 t=12980
pei dian 	配點	c=1 d=1.10059e-10 t=12980
pei hao 	配好	c=2 d=0.565525 t=12980
pei he 	配合	c=11 d=0.162026 t=12980
pei se 	配色	c=1 d=0.509156 t=12980
pei xun 	培訓	c=5 d=0.21831 t=12980
pei xun ban 	培訓班	c=1 d=0.2334 t=12980
pei zhi 	配置	c=77 d=0.667394 t=12980
pei zhi guo le 	配置過了	c=1 d=1.14512e-06 t=12980
pei zhi wen jian 	配置文件	c=1 d=0.000405658 t=12980
pei zi 	胚子	c=2 d=9.73289e-06 t=12980
peng dao 	碰到	c=1 d=0.00436124 t=12980
peng le 	碰了	c=1 d=3.96801e-09 t=12980
pi 	批	c=0 d=0.0351692 t=12980
pi mei pi 	批美屁	c=1 d=0.353455 t=12980
pi pei 	匹配	c=1 d=0.00470091 t=12980
pian yi 	便宜	c=2 d=0.00287923 t=12980
pin pai 	品牌	c=3 d=1.44672e-08 t=12980
pin tai 	品胎	c=1 d=0.0015648 t=12980
ping bi 	屏蔽	c=1 d=0.0558548 t=12980
ping ce 	評測	c=1 d=1.63793e-11 t=12980
ping gu 	評估	c=1 d=5.262e-06 t=12980
ping ji 	平級	c=1 d=0.17552 t=12980
ping mu 	屏幕	c=3 d=0.00103035 t=12980
ping sha 	憑啥	c=1 d=8.61587e-13 t=12980
ping shi 	平時	c=1 d=2.06649e-10 t=12980
ping tai 	平臺	c=18 d=0.0182903 t=12980
po 	破	c=0 d=1.12788e-05 t=12980
po jie 	破解	c=1 d=3.57311e-11 t=12980
po yi 	破譯	c=1 d=0.390628 t=12980
po zhe hao 	破摺好	c=1 d=0.000113353 t=12980
qi 	其	c=2 d=0.00285304 t=12980
qi bu lai 	起不來	c=1 d=0.053397 t=12980
qi cai hong 	七彩虹	c=4 d=0.00620985 t=12980
qi dian 	七點	c=1 d=0.0175097 t=12980
qi dong 	啓動	c=1 d=0.000169103 t=12980
qi dong xiang 	啓動項	c=1 d=0.38868 t=12980
qi guai 	奇怪	c=3 d=0.00540733 t=12980
qi ji 	契機	c=1 d=1.91685e-08 t=12980
qi jian 	期間	c=2 d=0.000131136 t=12980
qi lai 	起來	c=5 d=0.0323869 t=12980
qi le guai le 	奇了怪了	c=1 d=4.70491e-13 t=12980
qi ming 	起名	c=1 d=0.0113902 t=12980
qi shi 	其實	c=4 d=0.178173 t=12980
qi ta 	其他	c=20 d=0.964414 t=12980
qi tai he 	七臺河	c=1 d=0.0154523 t=12980
qi yu 	其餘	c=1 d=6.77633e-11 t=12980
qi yue fen 	七月份	c=1 d=5.00877e-14 t=12980
qian 	前	c=3 d=0.0373994 t=12980
qian dao 	簽到	c=7 d=0.00426256 t=12980
qian hou 	前後	c=1 d=5.19619e-05 t=12980
qian liang tai 	前兩臺	c=1 d=0.00530026 t=12980
qian mian ban 	前面板	c=1 d=0.00069264 t=12980
qian qi 	前期	c=2 d=0.479505 t=12980
qian tao 	嵌套	c=1 d=3.94755e-07 t=12980
qian tian 	前天	c=1 d=4.56275e-05 t=12980
qian tou 	牽頭	c=2 d=0.0080133 t=12980
qian yi 	遷移	c=4 d=2.7268e-06 t=12980
qian zhao 	千兆	c=4 d=0.282239 t=12980
qiang 	強	c=4 d=0.0371577 t=12980
qiang 	搶	c=1 d=0.08291 t=12980
qiang dian 	強電	c=1 d=0.00147367 t=12980
qiang le 	搶了	c=1 d=0.798516 t=12980
qiang mi ma 	強密碼	c=1 d=0.373439 t=12980
qiao bu qi 	瞧不起	c=0 d=0.0737123 t=12980
qiao bu qi ni 	瞧不起你	c=1 d=0.740818 t=12980
qiao he 	巧合	c=1 d=0.0159229 t=12980
qie ge 	切割	c=1 d=0.103312 t=12980
qie huan 	切換	c=2 d=0.00102302 t=12980
qie huan chuang kou 	切換窗口	c=1 d=0.000997758 t=12980
qie pian 	切片	c=20 d=2.67615 t=12980
qin 	親	c=1 d=0.000675539 t=12980
qing chu 	清楚	c=3 d=0.0126512 t=12980
qing dan 	清單	c=2 d=0.585669 t=12980
qing jiao 	請教	c=2 d=0.00990218 t=12980
qing kuang 	情況	c=2 d=0.274075 t=12980
qing li 	清理	c=2 d=8.61148e-07 t=12980
qing qiu 	請求	c=4 d=0.960789 t=12980
qing wen 	請問	c=2 d=6.55116e-08 t=12980
qing xi 	清晰	c=1 d=0.0244775 t=12980
qu 	區	c=1 d=9.88671e-14 t=12980
qu 	去	c=43 d=7.78264 t=12980
qu 	取	c=5 d=2.0591 t=12980
qu bie 	區別	c=6 d=0.329559 t=12980
qu guo 	去過	c=1 d=0.442639 t=12980
qu jian 	區間	c=1 d=7.65877e-10 t=12980
qu jue yu 	取決於	c=1 d=9.23431e-05 t=12980
qu la 	唿喇	c=0 d=2.88735e-05 t=12980
qu le 	去了	c=1 d=0.321422 t=12980
qu ne 	去呢	c=0 d=5.64257e-05 t=12980
qu nian 	去年	c=1 d=0.00546167 t=12980
qu shi 	趨勢	c=1 d=9.58798e-06 t=12980
qu xian 	曲線	c=1 d=0.0101529 t=12980
qu xiao 	取消	c=3 d=0.00285124 t=12980
qu xiao le 	取消了	c=1 d=3.25659e-08 t=12980
qu yu 	區域	c=0 d=0.00223708 t=12980
quan 	全	c=2 d=4.4382e-05 t=12980
quan cheng 	全程	c=1 d=0.160414 t=12980
quan gong si 	全公司	c=1 d=0.00810722 t=12980
quan hu 	全乎	c=2 d=0.035437 t=12980
quan ju 	全局	c=1 d=8.56853e-07 t=12980
quan ju qing dan 	全局清單	c=1 d=1.21614e-08 t=12980
quan li 	權利	c=1 d=1.1063e-12 t=12980
quan shi 	全市	c=3 d=0.00465413 t=12980
quan tui 	勸退	c=1 d=0.499074 t=12980
quan xian 	權限	c=5 d=0.102284 t=12980
quan zhi 	全職	c=1 d=0.0142642 t=12980
que bao 	確保	c=1 d=9.87998e-06 t=12980
que ding 	確定	c=3 d=0.00490458 t=12980
que ren 	確認	c=12 d=0.102289 t=12980
que shi 	確實	c=11 d=1.37727 t=12980
que zhen 	確診	c=3 d=1.35007 t=12980
qun 	羣	c=9 d=1.74636 t=12980
qun hui 	羣喙	c=2 d=0.754274 t=12980
qun hui 	羣輝	c=2 d=1.34751 t=12980
qun li 	羣裏	c=1 d=0.00335427 t=12980
ran 	染	c=1 d=9.05145e-05 t=12980
ran hou 	然後	c=10 d=0.616799 t=12980
rang 	讓	c=16 d=0.84836 t=12980
rang ni 	讓你	c=1 d=0.00369786 t=12980
rang ta 	讓他	c=5 d=0.00250582 t=12980
rang wo 	讓我	c=3 d=0.201897 t=12980
re 	熱	c=1 d=0.0858632 t=12980
re du 	熱度	c=1 d=0.000252273 t=12980
re nao 	熱鬧	c=1 d=1.32723e-07 t=12980
ren 	人	c=15 d=1.60567 t=12980
ren cuo le 	認錯了	c=1 d=5.03217e-10 t=12980
ren ge cuo 	認個錯	c=1 d=0.0257325 t=12980
